,msg_id,content,time,author,channel
0,845926707361611796,!get_history,2021-05-23 07:30:43.593,psyduck,feedback
1,845924416382042144,!get_history,2021-05-23 07:21:37.381,psyduck,feedback
2,845923874276114433,!get_history,2021-05-23 07:19:28.133,psyduck,feedback
3,845923853322289182,<@!91052671624019968>  hi there how are you?,2021-05-23 07:19:23.137,psyduck,feedback
4,845923820329893958,hey whats up?,2021-05-23 07:19:15.271,psyduck,feedback
5,845923506751406140,!get_history,2021-05-23 07:18:00.508,psyduck,feedback
6,845922264473534516,!get_history,2021-05-23 07:13:04.326,psyduck,feedback
7,845920837596872704,how are you doing?,2021-05-23 07:07:24.132,psyduck,feedback
8,845920827685339136,im good thanks,2021-05-23 07:07:21.769,psyduck,feedback
9,845920818339774514,hey all how are you,2021-05-23 07:07:19.541,psyduck,feedback
10,845920142427815947,!get_history,2021-05-23 07:04:38.391,psyduck,feedback
11,845920123205976064,gopod evening,2021-05-23 07:04:33.808,psyduck,feedback
12,845920111894331392,helllo,2021-05-23 07:04:31.111,psyduck,feedback
13,845919984735223808,!get_history,2021-05-23 07:04:00.794,psyduck,feedback
14,845919742438146059,!get_history,2021-05-23 07:03:03.026,psyduck,feedback
15,845917599891980328,!get_history,2021-05-23 06:54:32.203,psyduck,feedback
16,845915635392577537,!get_history,2021-05-23 06:46:43.830,psyduck,feedback
17,845915237558648872,!get_history,2021-05-23 06:45:08.979,psyduck,feedback
18,845915227383136264,Pong! 223ms,2021-05-23 06:45:06.553,Project Disbot,feedback
19,845915225811189781,!ping,2021-05-23 06:45:06.178,psyduck,feedback
20,845915065080217600,!get_history,2021-05-23 06:44:27.857,psyduck,feedback
21,845913788964012092,!get_history,2021-05-23 06:39:23.607,psyduck,feedback
22,845913283063971840,good evening,2021-05-23 06:37:22.991,psyduck,feedback
23,845913271788896256,test temp hello,2021-05-23 06:37:20.303,psyduck,feedback
